City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,melekeok village,7.4957,134.6367,303.46,70,75,3.6,PW,1706841808
1,port-aux-francais,-49.35,70.2167,280.52,88,16,8.16,TF,1706841809
2,ushuaia,-54.8,-68.3,280.96,71,0,11.32,AR,1706841677
3,puerto natales,-51.7236,-72.4875,280.92,85,100,1.04,CL,1706841809
4,grytviken,-54.2811,-36.5092,276.09,71,6,4.0,GS,1706841810
5,itaituba,-4.2761,-55.9836,296.87,98,78,1.18,BR,1706841810
6,blackmans bay,-43.0167,147.3167,292.33,42,11,2.24,AU,1706841810
7,wailua homesteads,22.0669,-159.378,298.39,79,100,0.89,US,1706841810
8,wewak,-3.5534,143.6268,302.47,76,95,7.03,PG,1706841811
9,khamis mushait,18.3064,42.7292,286.49,76,0,5.66,SA,1706841811
10,ilulissat,69.2167,-51.1,249.16,70,40,2.06,GL,1706841811
11,invercargill,-46.4,168.35,286.49,74,99,6.26,NZ,1706841812
12,adamstown,-25.066,-130.1015,298.0,88,53,8.76,PN,1706841812
13,la passe,45.5549,-0.8967,284.28,97,99,1.85,FR,1706841812
14,papatowai,-46.5619,169.4708,283.22,91,100,5.42,NZ,1706841812
15,anadyr,64.75,177.4833,257.43,60,20,13.0,RU,1706841813
16,vernon,50.2581,-119.2691,280.54,93,100,0.51,CA,1706841813
17,kovdor,67.5662,30.4758,269.08,86,100,7.48,RU,1706841813
18,banff,51.1762,-115.5698,281.72,65,100,2.06,CA,1706841813
19,yekaterinoslavka,50.3734,129.1139,250.55,90,12,3.37,RU,1706841814
20,bethel,41.3712,-73.414,278.67,77,100,1.31,US,1706841534
21,lihue,21.9789,-159.3672,298.73,80,100,0.0,US,1706841546
22,sandnessjoen,66.0217,12.6316,272.44,99,100,5.14,NO,1706841814
23,bukoba,-1.3317,31.8122,293.46,78,100,2.07,TZ,1706841815
24,iqaluit,63.7506,-68.5145,240.2,67,96,7.15,CA,1706841815
25,keflavik,64.0049,-22.5624,277.52,100,75,3.6,IS,1706841815
26,olonkinbyen,70.9221,-8.7187,265.9,59,20,4.01,SJ,1706841815
27,puerto baquerizo moreno,-0.9,-89.6,298.68,85,66,3.57,EC,1706841816
28,waitangi,-43.9535,-176.5597,292.49,91,100,3.58,NZ,1706841816
29,bilibino,68.0546,166.4372,233.22,92,12,1.87,RU,1706841816
30,harstad,68.799,16.5293,269.9,94,100,8.49,NO,1706841816
31,phan rang-thap cham,11.5667,108.9833,302.47,51,70,3.18,VN,1706841817
32,baishishan,43.5833,127.5667,258.81,74,13,1.7,CN,1706841817
33,puerto ayora,-0.7393,-90.3518,298.68,85,59,3.12,EC,1706841817
34,andergrove,-21.0833,149.1833,306.84,66,22,5.15,AU,1706841817
35,margaret river,-33.95,115.0667,299.73,56,19,4.96,AU,1706841817
36,dauphin,51.1494,-100.0502,271.23,100,100,1.54,CA,1706841818
37,robertsport,6.7533,-11.3686,299.98,82,50,1.11,LR,1706841818
38,vilyuchinsk,52.9306,158.4028,262.3,82,100,2.95,RU,1706841818
39,saipan,15.1355,145.701,301.54,69,40,10.8,MP,1706841818
40,albany,42.6001,-73.9662,275.78,82,100,1.34,US,1706841661
41,el bayadh,33.6832,1.0193,278.5,75,20,1.22,DZ,1706841819
42,ierapetra,35.01,25.7353,283.23,64,2,1.79,GR,1706841819
43,qaqortoq,60.7167,-46.0333,256.38,75,5,6.17,GL,1706841820
44,borogontsy,62.6683,131.1683,242.66,96,100,1.24,RU,1706841820
45,chulakkurgan,43.765,69.1814,264.17,84,26,3.85,KZ,1706841820
46,benghazi,32.1167,20.0667,287.79,58,85,5.25,LY,1706841820
47,iskateley,67.6803,53.1512,270.38,93,96,7.6,RU,1706841821
48,dudinka,69.4058,86.1778,259.64,92,100,11.62,RU,1706841772
49,sur,22.5667,59.5289,296.89,63,1,7.37,OM,1706841821
50,thunder bay,48.4001,-89.3168,268.14,68,0,2.06,CA,1706841713
51,orda,57.1951,56.9091,259.91,97,99,3.31,RU,1706841821
52,machico,32.7,-16.7667,291.0,73,40,3.6,PT,1706841734
53,haeju,38.0406,125.7147,273.42,60,23,2.08,KP,1706841822
54,adzope,6.1069,-3.8619,296.7,93,39,0.48,CI,1706841822
55,st. john's,47.5649,-52.7093,270.81,75,100,2.06,CA,1706841591
56,santana,-0.0583,-51.1817,300.25,78,40,3.09,BR,1706841822
57,lockhart,28.6194,-81.4426,287.64,84,0,3.09,US,1706841823
58,ribeira grande,38.5167,-28.7,290.25,90,99,4.92,PT,1706841823
59,yellowknife,62.456,-114.3525,260.6,95,100,3.6,CA,1706841629
60,newport,51.5877,-2.9984,282.66,94,100,5.73,GB,1706841707
61,mar del plata,-38.0023,-57.5575,297.56,71,0,2.24,AR,1706841824
62,ullal,12.8,74.85,296.68,83,44,1.54,IN,1706841824
63,huancavelica,-12.7667,-74.9833,278.06,97,96,1.75,PE,1706841824
64,saint-paul,-21.0096,55.2707,298.21,86,36,2.15,RE,1706841825
65,san antonio de pale,-1.4014,5.6325,301.22,72,98,1.99,GQ,1706841825
66,college,64.8569,-147.8028,238.65,69,100,0.0,US,1706841672
67,mugia,43.1041,-9.2179,283.66,85,64,7.0,ES,1706841826
68,castillos,-34.1667,-53.8333,292.44,92,0,2.95,UY,1706841826
69,atafu village,-8.5421,-172.5159,301.72,75,99,8.21,TK,1706841826
70,vanimo,-2.6741,141.3028,301.89,75,100,4.0,PG,1706841826
71,pemangkat,1.1667,108.9667,301.22,77,75,1.77,ID,1706841827
72,avarua,-21.2078,-159.775,303.18,79,40,2.06,CK,1706841827
73,dehloran,32.6941,47.2679,281.11,83,93,5.85,IR,1706841827
74,greymouth,-42.4667,171.2,286.81,87,100,5.35,NZ,1706841827
75,rongelap,11.1635,166.8941,299.35,86,93,11.45,MH,1706841828
76,ust'-ilimsk,58.0006,102.6619,249.76,91,31,0.73,RU,1706841828
77,ebon,4.582,168.6964,301.56,79,100,6.82,MH,1706841828
78,lazaro cardenas,17.9583,-102.2,298.3,82,24,1.02,MX,1706841828
79,talnakh,69.4865,88.3972,259.38,89,100,8.1,RU,1706841829
80,esmeralda,21.8525,-78.1169,290.95,70,31,3.15,CU,1706841829
81,labytnangi,66.6572,66.4183,259.43,96,100,1.69,RU,1706841829
82,sarangani,5.4033,125.4636,300.34,82,100,9.06,PH,1706841829
83,berdigestyakh,62.0989,126.6992,247.64,98,100,3.03,RU,1706841829
84,pamandzi,-12.7967,45.2794,301.03,78,0,3.6,YT,1706841830
85,georgetown,5.4112,100.3354,303.12,78,20,2.57,MY,1706841749
86,gustrow,53.7972,12.1734,278.15,93,100,4.12,DE,1706841830
87,fale old settlement,-9.3852,-171.2468,302.32,76,100,7.55,TK,1706841831
88,qina,26.1642,32.7267,281.53,63,1,2.02,EG,1706841831
89,vadso,70.0744,29.7487,272.24,93,40,14.92,NO,1706841831
90,akureyri,65.6835,-18.0878,275.11,87,100,1.03,IS,1706841832
91,bamboo flat,11.7,92.7167,300.2,89,40,2.57,IN,1706841832
92,longyearbyen,78.2186,15.6401,264.06,73,75,4.12,SJ,1706841832
93,aasiaat,68.7098,-52.8699,244.96,99,100,1.39,GL,1706841832
94,caleta de carquin,-11.0925,-77.6267,296.68,85,100,2.81,PE,1706841832
95,salto,-31.3833,-57.9667,297.87,51,0,2.25,UY,1706841639
96,isafjordur,66.0755,-23.124,274.87,95,100,2.53,IS,1706841833
97,selfoss,63.9331,-20.9971,277.51,98,100,0.54,IS,1706841833
98,udachny,66.4167,112.4,243.86,90,45,1.55,RU,1706841833
99,rio segundo,-31.6526,-63.9099,296.96,38,0,4.53,AR,1706841834
100,kargasok,59.0556,80.8572,255.91,98,55,2.24,RU,1706841834
101,richmond,37.5538,-77.4603,281.56,75,75,3.6,US,1706841706
102,edinburgh of the seven seas,-37.0676,-12.3116,292.15,96,98,7.69,SH,1706841834
103,tralee,52.2704,-9.7026,284.87,91,100,5.04,IE,1706841835
104,holualoa,19.6228,-155.9522,298.58,74,40,3.6,US,1706841835
105,knyaze-volkonskoye,48.4642,135.4567,254.34,88,44,1.79,RU,1706841835
106,syktyvkar,61.6764,50.8099,268.1,92,100,5.0,RU,1706841835
107,remire-montjoly,4.9167,-52.2667,297.17,94,20,0.0,GF,1706841836
108,bria,6.5423,21.9863,292.64,26,54,1.76,CF,1706841836
109,whitehorse,60.7161,-135.0538,256.58,54,100,5.14,CA,1706841836
110,hermanus,-34.4187,19.2345,295.82,95,11,2.9,ZA,1706841836
111,lerwick,60.1545,-1.1494,282.15,94,100,15.93,GB,1706841837
112,ambon,-3.6954,128.1814,305.23,66,40,3.09,ID,1706841616
113,port alfred,-33.5906,26.891,293.25,97,60,7.09,ZA,1706841837
114,tisul',55.7611,88.3122,257.23,98,65,1.8,RU,1706841837
115,howrah,22.5892,88.3103,294.15,88,40,0.0,IN,1706841838
116,port lincoln,-34.7333,135.8667,294.26,67,46,4.41,AU,1706841838
117,kodiak,57.79,-152.4072,269.88,46,0,3.09,US,1706841838
118,stanley,54.868,-1.6985,282.33,84,20,10.29,GB,1706841774
119,tsiombe,-25.3,45.4833,296.0,79,98,6.7,MG,1706841839
120,enewetak,11.3474,162.3373,299.78,83,59,10.82,MH,1706841839
121,coahuayana de hidalgo,18.7,-103.6583,296.32,90,1,0.8,MX,1706841839
122,bredasdorp,-34.5322,20.0403,293.34,98,19,2.69,ZA,1706841839
123,ta`u,-14.2336,-169.5144,301.54,78,99,4.62,AS,1706841840
124,rio grande,-32.035,-52.0986,295.31,83,0,5.59,BR,1706841753
125,miri,4.4148,114.0089,302.23,79,40,3.6,MY,1706841840
126,bastrop,32.7562,-91.8724,287.97,67,0,0.0,US,1706841746
127,jamestown,42.097,-79.2353,276.22,100,100,1.54,US,1706841841
128,puerto lempira,15.2667,-83.7667,297.48,62,99,4.23,HN,1706841841
129,port elizabeth,-33.918,25.5701,294.32,96,100,3.09,ZA,1706841841
130,hawaiian paradise park,19.5933,-154.9731,300.3,73,100,4.12,US,1706841842
131,afaahiti,-17.75,-149.2833,302.08,78,30,5.72,PF,1706841842
132,vorgashor,67.5833,63.95,263.76,83,100,3.49,RU,1706841842
133,illizi,26.4833,8.4667,279.04,36,0,3.65,DZ,1706841843
134,hithadhoo,-0.6,73.0833,301.08,75,31,5.41,MV,1706841843
135,punta arenas,-53.15,-70.9167,283.21,53,75,5.66,CL,1706841719
136,tual,-5.6667,132.75,301.88,78,74,7.45,ID,1706841843
137,mogocha,53.7333,119.7667,255.17,70,53,1.01,RU,1706841844
138,nelson bay,-32.7167,152.15,302.64,79,0,5.36,AU,1706841844
139,flying fish cove,-10.4217,105.6791,300.97,78,40,3.6,CX,1706841844
140,patterson,37.4716,-121.1297,286.36,81,28,1.24,US,1706841844
141,santo antonio do ica,-3.1022,-67.9397,297.08,99,100,1.32,BR,1706841845
142,tadine,-21.55,167.8833,301.34,73,100,4.33,NC,1706841845
143,yemel'yanovo,56.1681,92.6767,255.6,85,40,0.0,RU,1706841845
144,bastia,42.6667,9.3333,283.32,83,0,2.57,FR,1706841845
145,tura,25.5198,90.2201,292.52,54,31,1.35,IN,1706841846
146,suva,-18.1416,178.4415,303.86,70,40,2.57,FJ,1706841846
147,port mathurin,-19.6833,63.4167,300.56,81,29,11.71,MU,1706841846
148,west island,-12.1568,96.8225,301.14,83,100,4.12,CC,1706841846
149,orta,40.6242,33.1093,270.38,65,1,1.22,TR,1706841847
150,petropavlovsk-kamchatsky,53.0452,158.6483,261.48,57,75,5.0,RU,1706841847
151,tegueste,28.5167,-16.3167,290.42,66,0,3.58,ES,1706841847
152,katsina-ala,7.1667,9.2833,295.01,28,40,2.82,NG,1706841848
153,tobruk,32.0836,23.9764,285.37,63,96,6.11,LY,1706841848
154,punta del este,-34.9667,-54.95,298.21,75,0,3.6,UY,1706841848
155,virginia,37.5481,-77.4467,281.62,75,75,3.6,US,1706841849
156,antofagasta,-23.65,-70.4,294.75,80,29,1.43,CL,1706841849
157,nicoya,10.1483,-85.452,296.88,72,30,3.6,CR,1706841849
158,lebu,-37.6167,-73.65,289.1,97,26,3.64,CL,1706841850
159,cabo san lucas,22.8909,-109.9124,297.76,76,0,6.69,MX,1706841850
160,buka,40.8108,69.1986,272.75,70,16,0.36,UZ,1706841850
161,inhambane,-23.865,35.3833,297.1,85,28,4.3,MZ,1706841850
162,chonchi,-42.6128,-73.8092,290.55,76,100,1.09,CL,1706841851
163,tiksi,71.6872,128.8694,251.4,97,100,2.0,RU,1706841851
164,khandyga,62.6667,135.6,239.05,96,94,1.05,RU,1706841851
165,klyuchi,52.2667,79.1667,265.93,91,100,4.66,RU,1706841852
166,uturoa,-16.7333,-151.4333,300.99,70,100,5.16,PF,1706841852
167,vicuna,-30.0319,-70.7081,287.0,56,0,0.54,CL,1706841852
168,yelabuga,55.7613,52.0649,266.9,96,96,3.29,RU,1706841852
169,ribeira brava,32.65,-17.0667,291.0,29,15,4.01,PT,1706841853
170,mont-tremblant,46.1949,-74.6264,273.35,100,100,0.51,CA,1706841584
171,quellon,-43.1167,-73.6167,288.22,88,100,2.07,CL,1706841853
172,nuevo ideal,24.8875,-105.0728,284.23,55,0,3.16,MX,1706841853
173,asaita,11.5636,41.4394,297.97,72,88,1.38,ET,1706841854
174,hornell,42.3279,-77.6611,277.09,99,100,1.64,US,1706841696
175,glendive,47.1053,-104.7125,279.94,70,0,1.54,US,1706841854
176,aykhal,66.0,111.5,247.44,72,60,3.17,RU,1706841854
177,kyren,51.6828,102.1408,257.01,79,30,1.79,RU,1706841855
178,haiku-pauwela,20.9219,-156.3051,298.16,78,75,4.12,US,1706841855
179,minas de marcona,-15.2119,-75.1103,292.83,76,94,2.57,PE,1706841855
180,badarpur,24.9,92.6,292.7,70,22,1.66,IN,1706841855
181,vila franca do campo,37.7167,-25.4333,291.42,99,39,4.05,PT,1706841856
182,tobelo,1.7284,128.0095,301.35,79,97,3.11,ID,1706841856
183,matoury,4.8483,-52.3317,297.13,94,20,0.0,GF,1706841856
184,mana,5.6592,-53.7767,297.58,80,100,3.87,GF,1706841856
185,nouadhibou,20.931,-17.0347,293.14,42,0,4.63,MR,1706841857
186,sitka,57.0531,-135.33,274.09,60,100,5.66,US,1706841857
187,cooma,-36.2333,149.1333,301.45,19,0,4.56,AU,1706841857
188,tazacorte,28.629,-17.9293,293.23,36,0,4.92,ES,1706841857
189,hami,42.8,93.45,269.34,51,4,1.22,CN,1706841858
190,cockburn town,21.4612,-71.1419,296.51,58,66,6.26,TC,1706841858
191,wazirabad,32.4458,74.1159,280.4,79,0,1.85,PK,1706841858
192,colonia,50.9333,6.95,279.2,83,0,1.03,DE,1706841739
193,utrik,11.2278,169.8474,299.21,87,48,11.09,MH,1706841859
194,tamanrasset,22.785,5.5228,282.1,20,0,2.06,DZ,1706841859
195,amga,60.8953,131.9608,243.92,95,96,1.3,RU,1706841859
196,zeya,53.75,127.2667,252.86,74,43,0.84,RU,1706841860
197,neryungri,56.6709,124.6491,247.71,97,97,1.47,RU,1706841860
198,ola,59.5833,151.2833,249.78,82,17,2.58,RU,1706841860
199,new glasgow,45.5834,-62.6486,273.59,93,100,3.06,CA,1706841860
200,priozersk,61.0393,30.1291,270.98,86,99,7.11,RU,1706841861
201,'ain benian,36.8028,2.9219,278.18,78,8,0.33,DZ,1706841861
202,saint-philippe,-21.3585,55.7679,297.92,85,73,8.19,RE,1706841861
203,naraini,25.1833,80.4833,290.72,46,74,2.58,IN,1706841861
204,west plains,36.7281,-91.8524,285.49,63,99,0.89,US,1706841862
205,ocean city,39.2776,-74.5746,278.77,89,100,1.34,US,1706841814
206,correntina,-13.3433,-44.6367,296.15,83,100,0.7,BR,1706841863
207,salekhard,66.53,66.6019,261.6,93,100,2.54,RU,1706841863
208,ust-nera,64.5667,143.2,246.65,100,100,2.0,RU,1706841863
209,lubango,-14.9172,13.4925,289.07,100,100,1.54,AO,1706841863
210,port-vila,-17.7338,168.3219,303.93,74,75,2.57,VU,1706841864
211,karema,-6.8205,30.4389,294.09,92,100,2.84,TZ,1706841864
212,puerto cabezas,14.0351,-83.3888,294.26,77,53,3.95,NI,1706841864
213,laguna,38.421,-121.4238,285.88,84,0,1.54,US,1706841864
214,plastun,44.7561,136.2939,262.76,48,9,5.02,RU,1706841865
215,banyo,6.75,11.8167,290.87,29,27,1.35,CM,1706841865
216,laguna paiva,-31.3039,-60.6589,300.92,60,0,2.89,AR,1706841865
217,bandarbeyla,9.4942,50.8122,296.54,83,91,2.12,SO,1706841866
218,portland,45.5234,-122.6762,286.12,71,0,1.34,US,1706841495
219,jutai,-5.1833,-68.9,296.0,96,100,1.04,BR,1706841866
220,kapuskasing,49.4169,-82.4331,258.2,78,0,2.57,CA,1706841866
221,bubaque,11.2833,-15.8333,298.67,76,93,3.16,GW,1706841866
222,sittwe,20.15,92.9,295.07,53,0,2.16,MM,1706841867
223,north bend,43.4065,-124.2243,284.74,76,100,5.66,US,1706841867
224,geraldton,-28.7667,114.6,316.38,8,0,6.17,AU,1706841867
225,piti village,13.4626,144.6933,302.64,72,75,8.23,GU,1706841868
226,prince rupert,54.3161,-130.3201,280.2,100,100,1.03,CA,1706841868
227,saudarkrokur,65.7461,-19.6394,274.82,95,100,1.77,IS,1706841869
228,carloforte,39.145,8.3058,286.68,81,100,8.9,IT,1706841869
229,goba,7.0167,39.9833,282.24,63,72,1.85,ET,1706841869
230,zelenogradsk,54.9589,20.4767,277.24,86,0,4.0,RU,1706841851
231,karkira,36.9292,6.5856,283.73,88,94,3.62,DZ,1706841680
232,kattivakkam,13.2167,80.3167,300.2,75,56,2.49,IN,1706841870
233,hamilton,39.1834,-84.5333,283.84,71,0,5.66,US,1706841787
234,tondano,1.3038,124.9112,299.2,71,68,0.61,ID,1706841870
235,pariaman,-0.619,100.12,302.18,72,86,0.89,ID,1706841871
236,otacilio costa,-27.4831,-50.1219,290.71,99,79,1.66,BR,1706841871
237,cuyo,10.8525,121.0086,299.01,85,34,8.85,PH,1706841871
238,mount pearl,47.5166,-52.7813,270.35,75,100,2.06,CA,1706841871
239,pudozh,61.8099,36.5345,271.09,96,100,3.66,RU,1706841872
240,walvis bay,-22.9575,14.5053,291.68,88,100,2.06,NA,1706841872
241,rivne,50.6231,26.2274,274.86,84,94,6.81,UA,1706841872
242,qaisumah,28.3112,46.1273,281.13,61,0,3.6,SA,1706841872
243,znamenka,52.4167,41.4311,271.38,95,100,5.72,RU,1706841873
244,naze,28.3667,129.4833,293.66,86,95,1.77,JP,1706841873
245,manga,11.6636,-1.0731,295.8,23,1,4.02,BF,1706841873
246,boca suno,-0.7167,-77.1333,295.98,97,56,1.18,EC,1706841874
247,olyokminsk,60.3736,120.4264,250.52,96,100,1.4,RU,1706841874
248,prado,-17.3411,-39.2208,297.16,90,8,2.49,BR,1706841874
249,dompu,-8.5356,118.4622,306.18,55,73,1.75,ID,1706841874
250,polyarnyy,69.1989,33.4478,272.16,70,100,11.64,RU,1706841875
251,achinsk,56.2694,90.4993,255.48,95,63,2.24,RU,1706841875
252,thompson,55.7435,-97.8558,264.24,92,100,3.09,CA,1706841737
253,uliastay,47.7417,96.8444,255.98,69,7,2.26,MN,1706841875
254,dunedin,-45.8742,170.5036,282.48,91,73,8.94,NZ,1706841876
255,boryeong,36.3493,126.5977,277.13,62,43,2.67,KR,1706841876
256,new norfolk,-42.7826,147.0587,292.99,37,21,6.37,AU,1706841876
257,den burg,53.0542,4.7972,280.36,84,100,9.26,NL,1706841876
258,pleiku,13.9833,108.0,302.38,43,46,0.35,VN,1706841877
259,cabinda,-5.55,12.2,299.23,94,100,1.03,AO,1706841877
260,fort st. john,56.2499,-120.8529,275.09,80,75,2.06,CA,1706841578
261,general acha,-37.377,-64.6043,306.07,24,84,9.12,AR,1706841878
262,nabire,-3.3667,135.4833,303.32,67,99,2.64,ID,1706841878
263,east london,-33.0153,27.9116,296.13,86,12,6.3,ZA,1706841878
264,byron bay,-28.65,153.6167,306.32,56,25,4.64,AU,1706841878
265,hafnarfjordur,64.0671,-21.9377,277.49,92,100,5.66,IS,1706841878
266,awjilah,29.1081,21.2869,281.93,53,24,0.94,LY,1706841879
267,urengoy,65.9667,78.3667,260.36,92,100,8.02,RU,1706841879
268,preobrazheniye,42.9019,133.9064,266.81,35,6,2.33,RU,1706841879
269,zuya,45.0531,34.3154,276.53,83,100,4.99,UA,1706841880
270,murghob,38.1702,73.9667,251.61,58,3,3.05,TJ,1706841880
271,guarapari,-20.6667,-40.4975,298.65,95,100,2.8,BR,1706841880
272,margate,51.3813,1.3862,278.54,84,39,4.02,GB,1706841775
